Name,Campaign,Ongoing
Cat Care Volunteer - GF,7016g000000pgcyAAA,1
Cat Socialization Team,7016g000000pgcyAAA,1
Dog Care Volunteer - GF,7016g000000pgcyAAA,1
Foster Care Administrative Assistant,7016g000000pgcyAAA,1
Gray's Ferry Mentee Shift for dog care (for shadowing only),7016g000000pgcyAAA,1
Grays Ferry Mentee Shift for Cats (for shadowing only),7016g000000pgcyAAA,1
*PAWS 11th Annual Mutt Strut - October 14th (Rain Date - 10/15),7016g000000pgdrAAA,1
"PAWS 11th Annual Mutt Strut - October 14, 2017 (Rain Date - 10/15)",7016g000000pgdrAAA,1
PAWS 6th Annual Mutt Strut - November 3rd,7016g000000pgdrAAA,1
"PAWS Mutt Strut Set-up - October 10, 2014",7016g000000pgdrAAA,1
"PAWS Mutt Strut set-up - October 18, 2013",7016g000000pgdrAAA,1
Administrative tasks,7016g000000pgeQAAQ,1
PAWS Volunteer Meeting,7016g000000pgeQAAQ,1
Voicemail Volunteers,7016g000000pgeQAAQ,1
Cat Care Volunteer - PAC,7016g000000pgdXAAQ,1
Cat Pawsitive Program Volunteers - OLD CITY,7016g000000pgdXAAQ,1
Dog Walking Volunteer - PAC,7016g000000pgdXAAQ,1
PAC Adoptions Assistant AAV,7016g000000pgdXAAQ,1
PAC Cat Mentee Shift (for shadowing only),7016g000000pgdXAAQ,1
PAC Dog Mentee Shift (for shadowing only),7016g000000pgdXAAQ,1
PAC Orientations,7016g000000pgdXAAQ,1
PAC Photos and Bios,7016g000000pgdXAAQ,1
PAC Rockstar,7016g000000pgdXAAQ,1
PAC Transport Volunteer,7016g000000pgdXAAQ,1
PAC Veterinary Tech Volunteer,7016g000000pgdXAAQ,1
Cat Care Volunteer - Grant Ave.,7016g000000pgd8AAA,1
Cat Pawsitive Program Volunteer - Grant Ave. Location,7016g000000pgd8AAA,1
Dog Walking Volunteer - Grant Ave.,7016g000000pgd8AAA,1
Grant Ave Rockstar Volunteer,7016g000000pgd8AAA,1
Grant Mentee Shift (for shadowing only),7016g000000pgd8AAA,1
Veterinary Tech Volunteer shift - Grant Ave,7016g000000pgd8AAA,1
PAWS PETCO-Grant,7016g000000pgeuAAA,1
PAWS South Philly PetSmart,7016g000000pgeuAAA,1
*August 1st - 4:30-8pm: Pittie Party at Trestle Inn,7016g000000pgcZAAQ,1
*August 3rd - 5-7pm: Sidewalk Sale at PAWS Old City,7016g000000pgcZAAQ,1
*August 4th - 12:30-5pm: Lanier Park Opening Ceremony,7016g000000pgcZAAQ,1
*August 7th - 6:30-9pm: National Night out with Phila Police,7016g000000pgcZAAQ,1
*July 25th: 3:30-6pm: Int'l Soccer championship tailgate fundraiser,7016g000000pgcZAAQ,1
*July 28 & 29th: (various times each day) -  Kittydelphia event,7016g000000pgcZAAQ,1
*July 28th - 11:30-3pm: PetSmart Adoption Event - South Philly PS,7016g000000pgcZAAQ,1
*July 28th - 11:30am-3pm: Summit Aid Fundraiser,7016g000000pgcZAAQ,1
*September 8th - 11am - 3pm: Adoption Event at The Bone Appetite,7016g000000pgcZAAQ,1
1-4pm: Love Your Pet event (2/9),7016g000000pgcZAAQ,1
10am - 1pm: Share the Love event (12/15),7016g000000pgcZAAQ,1
10am - 3pm: DeBella Dog Walk (5/5),7016g000000pgcZAAQ,1
11am - 2pm: Santa PAWS at the Sporting Club (12/15),7016g000000pgcZAAQ,1
11am - 3pm - PETCO Adoption Event (1/5),7016g000000pgcZAAQ,1
11am - 3pm: Central Bark Adoption Event (2/23),7016g000000pgcZAAQ,1
11am - 3pm: Igloo Grand Opening,7016g000000pgcZAAQ,1
11am-2pm: Spin-a-thon Adoption event (10/13),7016g000000pgcZAAQ,1
11am-3pm: Plazapalooza with CNKP (5/4),7016g000000pgcZAAQ,1
11pm - 2pm: Food and Thought Lecture (11/14),7016g000000pgcZAAQ,1
12pm-4pm: Harry Potter Day in Chestnut Hill (10/27),7016g000000pgcZAAQ,1
1pm - 4pm: Sip And Shop Event (4/21),7016g000000pgcZAAQ,1
1pm-3pm: Summit Park Pet Fair (10/21),7016g000000pgcZAAQ,1
2pm - 6pm: Adoption event at Pet Valu (4/13),7016g000000pgcZAAQ,1
3pm-6pm: Jake's WayBack Burgers Anniversary (10/28),7016g000000pgcZAAQ,1
4-7pm: Pumpkins for Puppies Event (10/21),7016g000000pgcZAAQ,1
5pm - 7pm: First Friday event at 229 Arch (4/5),7016g000000pgcZAAQ,1
6pm - 8pm: Holiday Mixer to benefit PAWS (12/6),7016g000000pgcZAAQ,1
6pm-8pm: Happy Hour at Dos Segundos (11/14),7016g000000pgcZAAQ,1
8am - 1pm: Holiday Sale (12/2),7016g000000pgcZAAQ,1
April 11th - 5-7pm: Shake Shack event,7016g000000pgcZAAQ,1
April 12th - 4:30-8pm: Adoption event with Wharton,7016g000000pgcZAAQ,1
April 14th- 10:30-2pm: Adoption event with Beneficial Bank,7016g000000pgcZAAQ,1
"April 16, 17, 18 - 12pm-3pm: Adoption event at Subaru Conference",7016g000000pgcZAAQ,1
April 17th - 7pm-11pm: Matt & Kim Concert,7016g000000pgcZAAQ,1
April 17th - 9:30am - 5pm: Cherry Blossom Festival (Multiple shifts),7016g000000pgcZAAQ,1
April 21st - 11:30-3pm: Pet Valu Roxborough,7016g000000pgcZAAQ,1
April 21st - 9:30am-1pm: Kid's Day at YMCA,7016g000000pgcZAAQ,1
April 24th - 11:30-3: Adoption event at Pet Valu Grant Ave.,7016g000000pgcZAAQ,1
April 24th - 4:30-9pm: Fundraiser with Goose Island Brewing,7016g000000pgcZAAQ,1
April 27th - 2-5pm: Adoption Event at Pet Valu Ardmore,7016g000000pgcZAAQ,1
April 2nd - 5:30-8pm: Penn's Animal Law fundraiser/happy hour,7016g000000pgcZAAQ,1
April 5th - 1-4pm: Adoption event with Greensgrow,7016g000000pgcZAAQ,1
April 5th - 12-3 pm: 'Welcome back' event at South Philly PetSmart,7016g000000pgcZAAQ,1
April 7th - 11:30-6pm: Event with St. Stephen's Green (2 shifts),7016g000000pgcZAAQ,1
August 14th - 11:30-3pm: PAWS event with TD Bank,7016g000000pgcZAAQ,1
August 17th - 4pm - 7pm: Camden Riversharks Game,7016g000000pgcZAAQ,1
August 28th- 4-9pm:  Phillies Bark at the Park event,7016g000000pgcZAAQ,1
August 29th - 5:30-9pm: Made in America Kickoff - Urban Saloon,7016g000000pgcZAAQ,1
August 3rd: 11am-6pm: 2nd Street Festival (Multiple shifts),7016g000000pgcZAAQ,1
August 4th - 11am-6pm: 2nd Street Festival (TWO shifts),7016g000000pgcZAAQ,1
"Dec 2nd, 10th & 17th- 9am-9pm (varied shifts): Gift wrapping fundraiser",7016g000000pgcZAAQ,1
December 11th - 6-8:30 p.m.: Happy Hour for PAWS,7016g000000pgcZAAQ,1
December 21st - 11am - 2pm: Santa PAWS at TD Bank,7016g000000pgcZAAQ,1
December 2nd: 10am-6pm (TWO SHIFTS): Santa PAWS event,7016g000000pgcZAAQ,1
December 7th - 6:30-8pm: Tree Lighting at Morris House Hotel,7016g000000pgcZAAQ,1
December 7th & 8th - 2-4 p.m.: Santa Paws at Hotel Palomar,7016g000000pgcZAAQ,1
December 7th &14th: 11am - 4pm: PetSmart Santa Claws event,7016g000000pgcZAAQ,1
December 8th and 22nd - 4:30-8pm: PAWS at the Christmas Village,7016g000000pgcZAAQ,1
Feb 17th - 10-3pm: Lunar New Year event with Seaport Museum,7016g000000pgcZAAQ,1
February 11th: 9:30-1:30pm - Tweetheart event with Nest,7016g000000pgcZAAQ,1
February 12th - Adoption event at Free Library,7016g000000pgcZAAQ,1
